name,state,charter,magnet,latitude,longitude,idnumeric,schoolid,agencyid,code,grade4,county
ASHTON-FRANKLIN CNTR MIDDLE SCH,Illinois,2-No,2-No,41.840327,-89.296410,4705227501001,*4705227501001,47-052-2750-26,1716,2-No,LEE COUNTY
ASPIRA CHARTER SCHOOLS,Illinois,1-Yes,2-No,41.912568,-87.696987,150162990008C,*150162990008C,15-016-2990-25,1704,2-No,COOK COUNTY
ASPIRE ALTERNATIVE HIGH SCHOOL,Illinois,2-No,2-No,39.104079,-88.542991,0300000009202,*0300000009202,03-000-0000-00,1715,2-No,EFFINGHAM COUNTY
ASTORIA ELEM SCHOOL,Illinois,2-No,2-No,40.229380,-90.351863,2202900102001,*2202900102001,22-029-0010-26,1717,1-Yes,FULTON COUNTY
ASTORIA HIGH SCHOOL,Illinois,2-No,2-No,40.229927,-90.352829,2202900100001,*2202900100001,22-029-0010-26,1717,2-No,FULTON COUNTY
ASTORIA JUNIOR HIGH SCHOOL,Illinois,2-No,2-No,40.229746,-90.352200,2202900101001,*2202900101001,22-029-0010-26,1717,2-No,FULTON COUNTY
ATHENS JUNIOR HIGH SCHOOL,Illinois,2-No,2-No,39.961562,-89.717452,3806521301001,*3806521301001,38-065-2130-26,1718,2-No,MENARD COUNTY
ATHENS SR HIGH SCHOOL,Illinois,2-No,2-No,39.961568,-89.717471,3806521300001,*3806521300001,38-065-2130-26,1718,2-No,MENARD COUNTY
ATTEA MIDDLE SCHOOL,Illinois,2-No,2-No,42.088711,-87.819517,0501603401006,*0501603401006,05-016-0340-04,1709,2-No,COOK COUNTY
ATTUCKS ELEM SCHOOL,Illinois,2-No,2-No,41.802743,-87.625829,1501629902061,*1501629902061,15-016-2990-25,1707,1-Yes,COOK COUNTY
ATWOOD HAMMOND HIGH SCHOOL,Illinois,2-No,2-No,39.806358,-88.460769,3907403900001,*3907403900001,39-074-0390-26,1715,2-No,DOUGLAS COUNTY
ATWOOD-HAMMOND ELEM SCHOOL,Illinois,2-No,2-No,39.803058,-88.463614,3907403902003,*3907403902003,39-074-0390-26,1713,1-Yes,PIATT COUNTY
